Tickers,,ESG,Date,ESG rating,ESG data provider,ESG score
ADBE UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
ADP UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
ADSK UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
AMAT UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
BBY UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
BG UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
CCI UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
CHRW UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
ECL UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
EXPD UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
GILD UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
HPE UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
IDXX UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
INTC UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
K UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
LRCX UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
PNR UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
TT UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
TXN UW Equity,,OVERALL,11/14/2023,AAA,MSCI,10
WSM UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
ZTS UN Equity,,OVERALL,11/14/2023,AAA,MSCI,10
CBRE UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9.8
GIS UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9.7
LII UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9.7
MMM UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9.5
WDAY UW Equity,,OVERALL,11/14/2023,AAA,MSCI,9.5
KEYS UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9.4
NXPI UW Equity,,OVERALL,11/14/2023,AAA,MSCI,9.4
