Tickers,,ESG,Date,ESG rating,ESG data provider,ESG score
MSFT UW Equity,,OVERALL,11/14/2023,AAA,MSCI,9.3
EW UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9.2
NVDA UW Equity,,OVERALL,11/14/2023,AAA,MSCI,9.1
PEG UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9.1
INTU UW Equity,,OVERALL,11/14/2023,AAA,MSCI,9
OKE UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9
WAT UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9
XYL UN Equity,,OVERALL,11/14/2023,AAA,MSCI,9
NI UN Equity,,OVERALL,11/14/2023,AAA,MSCI,8.9
TAP UN Equity,,OVERALL,11/14/2023,AAA,MSCI,8.9
CMI UN Equity,,OVERALL,11/14/2023,AAA,MSCI,8.8
DGX UN Equity,,OVERALL,11/14/2023,AAA,MSCI,8.8
GWW UN Equity,,OVERALL,11/14/2023,AAA,MSCI,8.8
KO UN Equity,,OVERALL,11/14/2023,AAA,MSCI,8.7
ALLE UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
CARR UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
CI UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
COO UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
DECK UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
DVA UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
ELV UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
HD UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
IBM UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
KMI UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
NUE UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
STE UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
SYF UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
TRGP UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
TRMB UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
TSCO UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
UNH UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
ZBH UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.5
AMT UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
CHD UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
CLX UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
DOW UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
EA UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
IFF UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
JCI UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
KHC UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
KMB UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
LYB UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
MKC UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
PPG UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
PWR UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
SBAC UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
STX UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.4
AVY UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
BR UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
COR UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
CRM UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
EQIX UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
EQT UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
FDS UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
GEN UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
IP UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
IT UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
JBHT UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
KDP UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
MCK UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
MOH UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
PEP UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
PRU UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
PTC UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
TGT UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.3
AXON UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.2
BIIB UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.2
DHR UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.2
ES UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.2
IQV UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.2
ADM UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
BK UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
CDNS UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
DOV UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
FSLR UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
HPQ UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
HRL UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
IEX UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
KR UN Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
SNPS UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
WDC UW Equity,,OVERALL,11/14/2023,AA,MSCI,8.1
NTAP UW Equity,,OVERALL,11/14/2023,AA,MSCI,8
STLD UW Equity,,OVERALL,11/14/2023,AA,MSCI,8
ULTA UW Equity,,OVERALL,11/14/2023,AA,MSCI,8
XEL UW Equity,,OVERALL,11/14/2023,AA,MSCI,8
A UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
AMGN UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
DAL UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
EME UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
HON UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
IRM UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
MTD UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
NOW UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
ODFL UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
PSX UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
RF UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
WST UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.9
AMCR UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
AMD UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
BALL UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
BKR UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
DTE UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
FIS UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
LOW UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
NDAQ UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
NOC UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
POOL UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
SLB UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
STT UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.8
CSCO UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.7
HOLX UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.7
NEM UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.7
D UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
DLR UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
DUK UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
EXC UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
HBAN UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
HCA UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
LNT UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
LULU UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
MCO UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
MS UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
PANW UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
PNC UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
SJM UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
URI UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
WY UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.6
CMS UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.5
COP UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.5
LHX UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.5
LMT UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.5
NTRS UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.5
WEC UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.5
ACN UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
AKAM UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
AXP UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
BXP UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
DE UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
FICO UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
FTV UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
IR UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
NEE UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
PODD UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.4
AWK UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.3
MA UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.3
PAYX UW Equity,,OVERALL,11/14/2023,AA,MSCI,7.3
ROK UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.3
SPGI UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.3
VZ UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.2
WELL UN Equity,,OVERALL,11/14/2023,AA,MSCI,7.2
HUM UN Equity,,OVERALL,11/14/2023,A,MSCI,7.14
AEE UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
ANET UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
C UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
CVX UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
DD UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
DELL UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
DIS UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
EVRG UW Equity,,OVERALL,11/14/2023,A,MSCI,7.1
FOX UW Equity,,OVERALL,11/14/2023,A,MSCI,7.1
FOXA UW Equity,,OVERALL,11/14/2023,A,MSCI,7.1
GS UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
HOOD UW Equity,,OVERALL,11/14/2023,A,MSCI,7.1
INCY UW Equity,,OVERALL,11/14/2023,A,MSCI,7.1
LDOS UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
MLM UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
PG UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
UPS UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
V UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
VLO UN Equity,,OVERALL,11/14/2023,A,MSCI,7.1
AVB UN Equity,,OVERALL,11/14/2023,A,MSCI,7
BF/B UN Equity,,OVERALL,11/14/2023,A,MSCI,7
BLDR UN Equity,,OVERALL,11/14/2023,A,MSCI,7
BMY UN Equity,,OVERALL,11/14/2023,A,MSCI,7
DLTR UW Equity,,OVERALL,11/14/2023,A,MSCI,7
DOC UN Equity,,OVERALL,11/14/2023,A,MSCI,7
LLY UN Equity,,OVERALL,11/14/2023,A,MSCI,7
TRV UN Equity,,OVERALL,11/14/2023,A,MSCI,7
ED UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
ETN UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
HUBB UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
MET UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
NSC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
QCOM UW Equity,,OVERALL,11/14/2023,A,MSCI,6.9
RMD UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
SYY UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
TER UW Equity,,OVERALL,11/14/2023,A,MSCI,6.9
TFC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.9
CBOE UF Equity,,OVERALL,11/14/2023,A,MSCI,6.8
HSY UN Equity,,OVERALL,11/14/2023,A,MSCI,6.8
ITW UN Equity,,OVERALL,11/14/2023,A,MSCI,6.8
MSI UN Equity,,OVERALL,11/14/2023,A,MSCI,6.8
MU UW Equity,,OVERALL,11/14/2023,A,MSCI,6.8
ON UW Equity,,OVERALL,11/14/2023,A,MSCI,6.8
PAYC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.8
PFE UN Equity,,OVERALL,11/14/2023,A,MSCI,6.8
REGN UW Equity,,OVERALL,11/14/2023,A,MSCI,6.8
WMB UN Equity,,OVERALL,11/14/2023,A,MSCI,6.8
ZBRA UW Equity,,OVERALL,11/14/2023,A,MSCI,6.8
AEP UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
CFG UN Equity,,OVERALL,11/14/2023,A,MSCI,6.7
COST UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
CSX UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
ETR UN Equity,,OVERALL,11/14/2023,A,MSCI,6.7
FANG UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
FITB UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
GD UN Equity,,OVERALL,11/14/2023,A,MSCI,6.7
OTIS UN Equity,,OVERALL,11/14/2023,A,MSCI,6.7
PGR UN Equity,,OVERALL,11/14/2023,A,MSCI,6.7
REG UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
RTX UN Equity,,OVERALL,11/14/2023,A,MSCI,6.7
SBUX UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
TPR UN Equity,,OVERALL,11/14/2023,A,MSCI,6.7
WTW UW Equity,,OVERALL,11/14/2023,A,MSCI,6.7
CNC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.6
CVS UN Equity,,OVERALL,11/14/2023,A,MSCI,6.6
J UN Equity,,OVERALL,11/14/2023,A,MSCI,6.6
JKHY UW Equity,,OVERALL,11/14/2023,A,MSCI,6.6
JNJ UN Equity,,OVERALL,11/14/2023,A,MSCI,6.6
MRK UN Equity,,OVERALL,11/14/2023,A,MSCI,6.6
ORCL UN Equity,,OVERALL,11/14/2023,A,MSCI,6.6
PYPL UW Equity,,OVERALL,11/14/2023,A,MSCI,6.6
AZO UN Equity,,OVERALL,11/14/2023,A,MSCI,6.5
CAT UN Equity,,OVERALL,11/14/2023,A,MSCI,6.5
DHI UN Equity,,OVERALL,11/14/2023,A,MSCI,6.5
FFIV UW Equity,,OVERALL,11/14/2023,A,MSCI,6.5
GPC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.5
NDSN UW Equity,,OVERALL,11/14/2023,A,MSCI,6.5
PHM UN Equity,,OVERALL,11/14/2023,A,MSCI,6.5
BKNG UW Equity,,OVERALL,11/14/2023,A,MSCI,6.4
CTAS UW Equity,,OVERALL,11/14/2023,A,MSCI,6.4
DXCM UW Equity,,OVERALL,11/14/2023,A,MSCI,6.4
EL UN Equity,,OVERALL,11/14/2023,A,MSCI,6.4
GDDY UN Equity,,OVERALL,11/14/2023,A,MSCI,6.4
ISRG UW Equity,,OVERALL,11/14/2023,A,MSCI,6.4
MMC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.4
OXY UN Equity,,OVERALL,11/14/2023,A,MSCI,6.4
UBER UN Equity,,OVERALL,11/14/2023,A,MSCI,6.4
UNP UN Equity,,OVERALL,11/14/2023,A,MSCI,6.4
VRTX UW Equity,,OVERALL,11/14/2023,A,MSCI,6.4
COF UN Equity,,OVERALL,11/14/2023,A,MSCI,6.3
CTSH UW Equity,,OVERALL,11/14/2023,A,MSCI,6.3
FAST UW Equity,,OVERALL,11/14/2023,A,MSCI,6.3
FDX UN Equity,,OVERALL,11/14/2023,A,MSCI,6.3
FISV UW Equity,,OVERALL,11/14/2023,A,MSCI,6.3
LIN UW Equity,,OVERALL,11/14/2023,A,MSCI,6.3
MDLZ UW Equity,,OVERALL,11/14/2023,A,MSCI,6.3
SHW UN Equity,,OVERALL,11/14/2023,A,MSCI,6.3
TXT UN Equity,,OVERALL,11/14/2023,A,MSCI,6.3
VTR UN Equity,,OVERALL,11/14/2023,A,MSCI,6.3
ALGN UW Equity,,OVERALL,11/14/2023,A,MSCI,6.2
APH UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
BAC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
BAX UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
CDW UW Equity,,OVERALL,11/14/2023,A,MSCI,6.2
CL UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
EBAY UW Equity,,OVERALL,11/14/2023,A,MSCI,6.2
HIG UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
JBL UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
RVTY UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
TDY UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
TSLA UW Equity,,OVERALL,11/14/2023,A,MSCI,6.2
TTWO UW Equity,,OVERALL,11/14/2023,A,MSCI,6.2
USB UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
VMC UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
WAB UN Equity,,OVERALL,11/14/2023,A,MSCI,6.2
AMP UN Equity,,OVERALL,11/14/2023,A,MSCI,6.1
DG UN Equity,,OVERALL,11/14/2023,A,MSCI,6.1
EOG UN Equity,,OVERALL,11/14/2023,A,MSCI,6.1
HAL UN Equity,,OVERALL,11/14/2023,A,MSCI,6.1
MO UN Equity,,OVERALL,11/14/2023,A,MSCI,6.1
RJF UN Equity,,OVERALL,11/14/2023,A,MSCI,6.1
ATO UN Equity,,OVERALL,11/14/2023,A,MSCI,6
CPRT UW Equity,,OVERALL,11/14/2023,A,MSCI,6
DDOG UW Equity,,OVERALL,11/14/2023,A,MSCI,6
DVN UN Equity,,OVERALL,11/14/2023,A,MSCI,6
JPM UN Equity,,OVERALL,11/14/2023,A,MSCI,6
KEY UN Equity,,OVERALL,11/14/2023,A,MSCI,6
MCD UN Equity,,OVERALL,11/14/2023,A,MSCI,6
MPC UN Equity,,OVERALL,11/14/2023,A,MSCI,6
NVR UN Equity,,OVERALL,11/14/2023,A,MSCI,6
PLD UN Equity,,OVERALL,11/14/2023,A,MSCI,6
TJX UN Equity,,OVERALL,11/14/2023,A,MSCI,6
VRSN UW Equity,,OVERALL,11/14/2023,A,MSCI,6
AVGO UW Equity,,OVERALL,11/14/2023,A,MSCI,5.9
CAH UN Equity,,OVERALL,11/14/2023,A,MSCI,5.9
HLT UN Equity,,OVERALL,11/14/2023,A,MSCI,5.9
ICE UN Equity,,OVERALL,11/14/2023,A,MSCI,5.9
VRSK UW Equity,,OVERALL,11/14/2023,A,MSCI,5.9
EMR UN Equity,,OVERALL,11/14/2023,A,MSCI,5.8
RSG UN Equity,,OVERALL,11/14/2023,A,MSCI,5.8
SO UN Equity,,OVERALL,11/14/2023,A,MSCI,5.8
SRE UN Equity,,OVERALL,11/14/2023,A,MSCI,5.8
WM UN Equity,,OVERALL,11/14/2023,A,MSCI,5.8
CMG UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.71
BRO UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
DPZ UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
FCX UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
FE UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
HWM UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
MTB UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
PFG UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
ROP UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.7
EIX UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.64
BDX UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.6
CHTR UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.6
CTRA UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.6
GE UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.6
MPWR UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.6
ADI UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
AON UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
APD UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
CTVA UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
MCHP UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
SNA UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
TSN UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
TYL UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.5
SCHW UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.4
SYK UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.4
TMO UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.4
ALL UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.3
APO UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.3
ARE UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.3
CF UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.3
CPT UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.3
OMC UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.3
TROW UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.3
AAPL UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
EG UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
FTNT UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
MAS UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
NKE UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
PH UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
PKG UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
PM UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
YUM UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.2
CMCSA UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5.1
KIM UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.1
LVS UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.1
PPL UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5.1
ABBV UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5
ACGL UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5
CB UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5
DRI UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5
GLW UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5
PCAR UW Equity,,OVERALL,11/14/2023,BBB,MSCI,5
STZ UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5
T UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5
WMT UN Equity,,OVERALL,11/14/2023,BBB,MSCI,5
AFL UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.9
KVUE UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.9
VICI UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.9
CNP UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.8
CRWD UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.8
KLAC UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.8
DASH UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.7
GM UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.7
GOOG UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.7
GOOGL UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.7
SPG UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.7
WBD UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.7
ABT UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
AME UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
AMZN UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
BSX UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
CME UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
GPN UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
MAR UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
MDT UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.6
AIG UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.5
BA UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.5
CEG UW Equity,,OVERALL,11/14/2023,BBB,MSCI,4.5
GRMN UN Equity,,OVERALL,11/14/2023,BBB,MSCI,4.5
