Tickers,,ESG,Date,ESG rating,ESG data provider,ESG score
IP UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
JCI UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
KHC UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
MA UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
MKC UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
MLM UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
PTC UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
SNPS UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
SPGI UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
AXP UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
CAH UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
CI UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
COR UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
FTV UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
HPQ UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
HUM UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
IEX UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
IT UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
LH UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
POOL UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
ULTA UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
WDC UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.3
A UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
AXON UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
EA UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
KR UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
MCO UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
NDAQ UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
TGT UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
VRTX UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.2
AMD UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.1
BK UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.1
BKR UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.1
CNC UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.1
FSLR UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.1
MET UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.1
SBAC UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.1
COP UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
DTE UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
DUK UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
EQT UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
IQV UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
LNT UW Equity,,OVERALL,11/14/2024,AA,MSCI,8
LOW UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
MSI UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
NTAP UW Equity,,OVERALL,11/14/2024,AA,MSCI,8
NUE UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
PANW UW Equity,,OVERALL,11/14/2024,AA,MSCI,8
PNC UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
STX UW Equity,,OVERALL,11/14/2024,AA,MSCI,8
SYF UN Equity,,OVERALL,11/14/2024,AA,MSCI,8
BXP UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.9
CAT UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.9
DVA UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.9
KVUE UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.9
MS UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.9
MSFT UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.9
FDS UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.8
NEM UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.8
STLD UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.8
ACN UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
CSCO UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
FANG UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
HBAN UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
HOLX UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
KMB UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
LDOS UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
MTD UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.7
AVY UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
CMS UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
DE UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
EXC UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
IRM UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
KO UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
MCK UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
MOH UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
NEE UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
PHM UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
PSX UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
V UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
VLO UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
WY UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
XEL UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.6
BIIB UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
D UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
DOV UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
GDDY UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
IR UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
LMT UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
ODFL UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
PWR UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
RVTY UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
TROW UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
UNP UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.5
ADM UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
BF/B UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
DOC UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
GEN UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
KDP UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
ROK UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
WELL UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
ZBH UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.4
ANET UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
ES UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
FICO UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
FIS UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
IFF UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
LULU UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
MMC UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
PAYX UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
WTW UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.3
COO UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.2
DOW UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.2
LYB UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.2
PEP UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.2
REG UW Equity,,OVERALL,11/14/2024,AA,MSCI,7.2
SLB UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.2
STT UN Equity,,OVERALL,11/14/2024,AA,MSCI,7.2
FE UN Equity,,OVERALL,11/14/2024,A,MSCI,7.13
EBAY UW Equity,,OVERALL,11/14/2024,A,MSCI,7.1
EIX UN Equity,,OVERALL,11/14/2024,A,MSCI,7.1
EVRG UW Equity,,OVERALL,11/14/2024,A,MSCI,7.1
GPC UN Equity,,OVERALL,11/14/2024,A,MSCI,7.1
INCY UW Equity,,OVERALL,11/14/2024,A,MSCI,7.1
JKHY UW Equity,,OVERALL,11/14/2024,A,MSCI,7.1
ORCL UN Equity,,OVERALL,11/14/2024,A,MSCI,7.1
REGN UW Equity,,OVERALL,11/14/2024,A,MSCI,7.1
TPR UN Equity,,OVERALL,11/14/2024,A,MSCI,7.1
UPS UN Equity,,OVERALL,11/14/2024,A,MSCI,7.1
VMC UN Equity,,OVERALL,11/14/2024,A,MSCI,7.1
VRSK UW Equity,,OVERALL,11/14/2024,A,MSCI,7.1
BKNG UW Equity,,OVERALL,11/14/2024,A,MSCI,7
CL UN Equity,,OVERALL,11/14/2024,A,MSCI,7
CPRT UW Equity,,OVERALL,11/14/2024,A,MSCI,7
FDX UN Equity,,OVERALL,11/14/2024,A,MSCI,7
LLY UN Equity,,OVERALL,11/14/2024,A,MSCI,7
PODD UW Equity,,OVERALL,11/14/2024,A,MSCI,7
RTX UN Equity,,OVERALL,11/14/2024,A,MSCI,7
STZ UN Equity,,OVERALL,11/14/2024,A,MSCI,7
SYY UN Equity,,OVERALL,11/14/2024,A,MSCI,7
TFC UN Equity,,OVERALL,11/14/2024,A,MSCI,7
USB UN Equity,,OVERALL,11/14/2024,A,MSCI,7
ADI UW Equity,,OVERALL,11/14/2024,A,MSCI,6.9
AMP UN Equity,,OVERALL,11/14/2024,A,MSCI,6.9
AVGO UW Equity,,OVERALL,11/14/2024,A,MSCI,6.9
DLTR UW Equity,,OVERALL,11/14/2024,A,MSCI,6.9
ED UN Equity,,OVERALL,11/14/2024,A,MSCI,6.9
GE UN Equity,,OVERALL,11/14/2024,A,MSCI,6.9
HCA UN Equity,,OVERALL,11/14/2024,A,MSCI,6.9
HIG UN Equity,,OVERALL,11/14/2024,A,MSCI,6.9
ITW UN Equity,,OVERALL,11/14/2024,A,MSCI,6.9
MU UW Equity,,OVERALL,11/14/2024,A,MSCI,6.9
PFG UW Equity,,OVERALL,11/14/2024,A,MSCI,6.9
QCOM UW Equity,,OVERALL,11/14/2024,A,MSCI,6.9
ZBRA UW Equity,,OVERALL,11/14/2024,A,MSCI,6.9
AMCR UN Equity,,OVERALL,11/14/2024,A,MSCI,6.8
AMGN UW Equity,,OVERALL,11/14/2024,A,MSCI,6.8
C UN Equity,,OVERALL,11/14/2024,A,MSCI,6.8
CFG UN Equity,,OVERALL,11/14/2024,A,MSCI,6.8
DHR UN Equity,,OVERALL,11/14/2024,A,MSCI,6.8
DXCM UW Equity,,OVERALL,11/14/2024,A,MSCI,6.8
SW UN Equity,,OVERALL,11/14/2024,A,MSCI,6.8
TYL UN Equity,,OVERALL,11/14/2024,A,MSCI,6.8
AEE UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
AEP UW Equity,,OVERALL,11/14/2024,A,MSCI,6.7
ATO UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
BMY UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
COF UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
DD UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
EG UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
ETR UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
FOX UW Equity,,OVERALL,11/14/2024,A,MSCI,6.7
FOXA UW Equity,,OVERALL,11/14/2024,A,MSCI,6.7
KLAC UW Equity,,OVERALL,11/14/2024,A,MSCI,6.7
LHX UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
LIN UW Equity,,OVERALL,11/14/2024,A,MSCI,6.7
ON UW Equity,,OVERALL,11/14/2024,A,MSCI,6.7
PG UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
TEL UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
TER UW Equity,,OVERALL,11/14/2024,A,MSCI,6.7
WEC UN Equity,,OVERALL,11/14/2024,A,MSCI,6.7
ACGL UW Equity,,OVERALL,11/14/2024,A,MSCI,6.6
AFL UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
BAC UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
COST UW Equity,,OVERALL,11/14/2024,A,MSCI,6.6
EOG UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
FITB UW Equity,,OVERALL,11/14/2024,A,MSCI,6.6
GS UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
MCD UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
PAYC UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
RF UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
TRV UN Equity,,OVERALL,11/14/2024,A,MSCI,6.6
TTWO UW Equity,,OVERALL,11/14/2024,A,MSCI,6.6
CSX UW Equity,,OVERALL,11/14/2024,A,MSCI,6.5
CTAS UW Equity,,OVERALL,11/14/2024,A,MSCI,6.5
DHI UN Equity,,OVERALL,11/14/2024,A,MSCI,6.5
ETN UN Equity,,OVERALL,11/14/2024,A,MSCI,6.5
GD UN Equity,,OVERALL,11/14/2024,A,MSCI,6.5
NOC UN Equity,,OVERALL,11/14/2024,A,MSCI,6.5
PCAR UW Equity,,OVERALL,11/14/2024,A,MSCI,6.5
SHW UN Equity,,OVERALL,11/14/2024,A,MSCI,6.5
DIS UN Equity,,OVERALL,11/14/2024,A,MSCI,6.4
OTIS UN Equity,,OVERALL,11/14/2024,A,MSCI,6.4
SRE UN Equity,,OVERALL,11/14/2024,A,MSCI,6.4
VRSN UW Equity,,OVERALL,11/14/2024,A,MSCI,6.4
ALGN UW Equity,,OVERALL,11/14/2024,A,MSCI,6.3
APD UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
AVB UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
HLT UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
ISRG UW Equity,,OVERALL,11/14/2024,A,MSCI,6.3
MRK UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
PFE UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
PLD UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
SJM UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
VICI UN Equity,,OVERALL,11/14/2024,A,MSCI,6.3
AJG UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
AME UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
AON UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
CDW UW Equity,,OVERALL,11/14/2024,A,MSCI,6.2
CTSH UW Equity,,OVERALL,11/14/2024,A,MSCI,6.2
FISV UW Equity,,OVERALL,11/14/2024,A,MSCI,6.2
JBL UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
NVR UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
PGR UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
SBUX UW Equity,,OVERALL,11/14/2024,A,MSCI,6.2
TDY UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
VZ UN Equity,,OVERALL,11/14/2024,A,MSCI,6.2
FAST UW Equity,,OVERALL,11/14/2024,A,MSCI,6.1
MCHP UW Equity,,OVERALL,11/14/2024,A,MSCI,6.1
MDLZ UW Equity,,OVERALL,11/14/2024,A,MSCI,6.1
ROP UW Equity,,OVERALL,11/14/2024,A,MSCI,6.1
TJX UN Equity,,OVERALL,11/14/2024,A,MSCI,6.1
TXT UN Equity,,OVERALL,11/14/2024,A,MSCI,6.1
AWK UN Equity,,OVERALL,11/14/2024,A,MSCI,6
CNP UN Equity,,OVERALL,11/14/2024,A,MSCI,6
DELL UN Equity,,OVERALL,11/14/2024,A,MSCI,6
DVN UN Equity,,OVERALL,11/14/2024,A,MSCI,6
GRMN UN Equity,,OVERALL,11/14/2024,A,MSCI,6
HAL UN Equity,,OVERALL,11/14/2024,A,MSCI,6
HWM UN Equity,,OVERALL,11/14/2024,A,MSCI,6
JNJ UN Equity,,OVERALL,11/14/2024,A,MSCI,6
JPM UN Equity,,OVERALL,11/14/2024,A,MSCI,6
MO UN Equity,,OVERALL,11/14/2024,A,MSCI,6
PYPL UW Equity,,OVERALL,11/14/2024,A,MSCI,6
RMD UN Equity,,OVERALL,11/14/2024,A,MSCI,6
SYK UN Equity,,OVERALL,11/14/2024,A,MSCI,6
UNH UN Equity,,OVERALL,11/14/2024,A,MSCI,6
WM UN Equity,,OVERALL,11/14/2024,A,MSCI,6
AZO UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
CVX UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
DDOG UW Equity,,OVERALL,11/14/2024,A,MSCI,5.9
DG UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
GEV UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
ICE UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
KEY UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
OXY UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
RSG UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
WAB UN Equity,,OVERALL,11/14/2024,A,MSCI,5.9
BLDR UN Equity,,OVERALL,11/14/2024,A,MSCI,5.8
BLK UN Equity,,OVERALL,11/14/2024,A,MSCI,5.8
EL UN Equity,,OVERALL,11/14/2024,A,MSCI,5.8
HSY UN Equity,,OVERALL,11/14/2024,A,MSCI,5.8
NSC UN Equity,,OVERALL,11/14/2024,A,MSCI,5.8
NTRS UW Equity,,OVERALL,11/14/2024,A,MSCI,5.8
SO UN Equity,,OVERALL,11/14/2024,A,MSCI,5.8
UBER UN Equity,,OVERALL,11/14/2024,A,MSCI,5.8
AAPL UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.7
MTB UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.7
TPL UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.7
WBD UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.7
AMZN UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
APO UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
ARE UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
CTVA UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
KIM UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
KKR UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
SCHW UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
UAL UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.6
BDX UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.5
CMG UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.5
CVS UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.5
FTNT UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.5
PH UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.5
TSN UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.5
WMT UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.5
CF UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.4
GM UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.3
GPN UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.3
LYV UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.3
MPWR UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.3
NDSN UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.3
SNA UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.3
BAX UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.2
CINF UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.2
DRI UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.2
RCL UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.2
YUM UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.2
BRO UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
CMCSA UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
EQR UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
GLW UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
HOOD UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
MPC UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
ORLY UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
VTR UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5.1
ABBV UN Equity,,OVERALL,11/14/2024,BBB,MSCI,5
MAR UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5
NWS UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5
NWSA UW Equity,,OVERALL,11/14/2024,BBB,MSCI,5
APH UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.9
CME UW Equity,,OVERALL,11/14/2024,BBB,MSCI,4.9
EFX UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.9
FCX UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.9
ROL UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.9
AIG UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.8
CB UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.8
CRWD UW Equity,,OVERALL,11/14/2024,BBB,MSCI,4.8
LVS UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.8
MAS UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.8
ALL UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.7
CSGP UW Equity,,OVERALL,11/14/2024,BBB,MSCI,4.7
EMR UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.7
OMC UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.7
PPL UN Equity,,OVERALL,11/14/2024,BBB,MSCI,4.7
