Tickers,,ESG,Date,ESG rating,ESG data provider,ESG score
ADBE UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
ADSK UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
BBY UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
BG UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
BR UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
CLX UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
CMI UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
DECK UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
EW UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
GILD UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
HPE UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
IDXX UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
K UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
NOW UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
NVDA UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
NXPI UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
TSCO UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
TT UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
TXN UW Equity,,OVERALL,11/14/2024,AAA,MSCI,10
VLTO UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
WSM UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
ZTS UN Equity,,OVERALL,11/14/2024,AAA,MSCI,10
ADP UW Equity,,OVERALL,11/14/2024,AAA,MSCI,9.8
AMAT UW Equity,,OVERALL,11/14/2024,AAA,MSCI,9.8
EXPD UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.8
GWW UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.8
MMM UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.8
GIS UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.7
LRCX UW Equity,,OVERALL,11/14/2024,AAA,MSCI,9.7
PNR UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.7
TAP UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.6
INTU UW Equity,,OVERALL,11/14/2024,AAA,MSCI,9.5
KMI UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.5
STE UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.5
CCI UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.3
ELV UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.3
OKE UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.3
WAT UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.3
BALL UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.2
KEYS UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.2
XYL UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.2
CHRW UW Equity,,OVERALL,11/14/2024,AAA,MSCI,9.1
PRU UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9.1
AMT UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9
ECL UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9
LII UN Equity,,OVERALL,11/14/2024,AAA,MSCI,9
DGX UN Equity,,OVERALL,11/14/2024,AAA,MSCI,8.8
INTC UW Equity,,OVERALL,11/14/2024,AAA,MSCI,8.8
PPG UN Equity,,OVERALL,11/14/2024,AAA,MSCI,8.8
NI UN Equity,,OVERALL,11/14/2024,AAA,MSCI,8.7
PEG UN Equity,,OVERALL,11/14/2024,AAA,MSCI,8.7
WDAY UW Equity,,OVERALL,11/14/2024,AAA,MSCI,8.6
EME UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
HD UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
HON UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
HUBB UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
J UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
JBHT UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
RJF UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
TRGP UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
TRMB UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
URI UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
WMB UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
WST UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.5
AKAM UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
ALLE UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
CARR UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
CBOE UF Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
CBRE UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
CDNS UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
CHD UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
CRM UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
DAL UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
DLR UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
EQIX UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
FFIV UW Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
HRL UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
IBM UN Equity,,OVERALL,11/14/2024,AA,MSCI,8.4
