ticker,momentum_score,12m_return,z_score,mean_momentum,std_momentum
MMM,3.1437616989616544,0.36566661735552397,2.1437616989616544,-0.08123795576534237,0.20846746788009488
AOS,1.6462918208650252,0.3299840736848774,0.6462918208650252,0.16339196300661607,0.25776608228661657
ABT,0.9991416055837405,0.02217460690594528,-0.0008591318902767741,0.022289995654165905,0.13430853810286592
ABBV,1.1197463435437662,0.2161859316414745,0.11974634354376631,0.19808789764405055,0.15113642272349867
ACN,0.5449345937831971,-0.06304279872391565,-0.8350826161677877,0.14543583568726465,0.24965031049010852
ADBE,0.8659762567222419,0.06455396411856326,-0.1547660715145286,0.12691013700078785,0.40290596170085596
AMD,1.3060957140282357,0.4118940460968783,0.30609571402823577,0.27187855922744036,0.45742387250976735
AES,1.257080351449281,0.13701768681606302,0.2570803514492809,0.04679343141249888,0.35095741426728366
AFL,2.104086138922261,0.4329392249122237,1.1040861389222612,0.2594899016403526,0.15709763682132746
A,1.1774821897127445,0.1356182499137899,0.17748218971274454,0.08825334940134888,0.2668712876999166
APD,0.913639408181429,0.016815870822205592,-0.09452371586123794,0.03220282672630709,0.16278407766670694
ABNB,2.1763654371339474,0.3203060682150045,1.1763654371339476,-0.014577308776735671,0.28467631436676466
AKAM,0.8984100451395499,0.0013025956753127891,-0.11307749218751247,0.026733536720578068,0.22489834672928574
ALB,0.4951974313962365,-0.36020497217879605,-1.0193965812392138,0.2380493231261046,0.5868710041950915
ARE,1.6817333954042555,0.09584297199397891,0.6817333954042554,-0.049917714534579244,0.2138089281105626
ALGN,0.7760222963234699,-0.09003754290420972,-0.2886227686210312,0.08263812214554614,0.598274577833058
ALLE,1.5482610563470915,0.1812317992214587,0.5482610563470917,0.06417831974727535,0.21349953296715543
LNT,1.0859164667068586,0.03848060215543725,0.08591646670685858,0.028307189257128905,0.11841051300467662
ALL,3.1418440693355714,0.5900571662588158,2.1418440693355714,0.13764482525070032,0.21122561977560755
GOOGL,1.498573629943662,0.40392267292848505,0.498573629943662,0.21951019037097902,0.3698801370187676
GOOG,1.4980562791966534,0.41006726586954484,0.49805627919665335,0.2233195804357731,0.3749529786774076
MO,1.3106458240173038,0.1373212282412347,0.3106458240173037,0.09388573494852664,0.1398232003604484
AMZN,2.2421551409142912,0.4632609036498218,1.2421551409142912,0.04445870614810054,0.33715772185546883
AMCR,1.8250662178517443,0.11163314127610127,0.8250662178517442,0.005349904234308402,0.12881782666914485
AEE,0.561850969262893,-0.06482183425988876,-0.7798314049576636,0.02903424889425942,0.12035432602158866
AEP,1.8141036276263445,0.13251324927599167,0.8141036276263444,0.034675807044607446,0.12017811849904869
AXP,2.0901792806298234,0.5347209301495252,1.0901792806298232,0.2148029978060306,0.2934544235317609
AIG,1.9003399406159056,0.5260085420071268,0.9003399406159056,0.269707739583781,0.284671145709714
AMT,1.8843644068882093,0.09912537177841911,0.8843644068882093,-0.0335886310931439,0.15006710111563673
AWK,0.6811221469158909,-0.075190881991652,-0.46816544510846164,-0.009687588825675742,0.13991483961572784
AMP,1.7355461625187012,0.486678391663812,0.7355461625187012,0.2916612085660956,0.2651324866272524
AME,1.1059570226308533,0.1765355426973924,0.10595702263085317,0.15713636603122844,0.18308533200059182
AMGN,3.754744984552921,0.4327511520581979,2.754744984552921,0.07410945723458233,0.13019052465280048
APH,4.2522721354206166,0.7707181592742633,3.2522721354206166,0.1879670238748413,0.1791827716545174
ADI,2.1031034311487597,0.34486655449903925,1.1031034311487597,0.14684179578723708,0.179516039131146
AON,0.4292627264555584,-0.07875358774420832,-1.329575661639772,0.15796864275961367,0.1780434444865449
APA,0.5213898385315301,-0.011751183423416365,-0.9179506889057387,0.4503738808038179,0.5034312516047236
APO,2.4670053865841943,0.7742755339922996,1.4670053865841945,0.3062785468563368,0.3190151797776671
AAPL,0.6983320339362928,0.09041559496058271,-0.4319835714299018,0.1769721998458659,0.20037013120377142
AMAT,1.4669713217438265,0.6274070403397783,0.46697132174382655,0.37234437891369876,0.5462062648164144
APTV,0.8343922611960571,-0.05472297450753247,-0.19847707907375944,0.028670424441168466,0.42016639572627773
ACGL,1.856218388664932,0.472453365267123,0.8562183886649318,0.33554851053891444,0.15989478448562522
ADM,0.5191890679323372,-0.09216596132489684,-0.9260806164168388,0.17977521216059475,0.2936474089455382
ANET,2.0707438951682935,0.789407240889079,1.0707438951682937,0.47700692645398846,0.2917600705871773
AJG,1.057674367860984,0.27705442264504926,0.05767436786098395,0.2702432240245131,0.11809749934240439
AIZ,2.264911933729507,0.47383452951491595,1.2649119337295072,0.13151179528420034,0.2706296976908109
T,3.485165816350552,0.24107129151629308,2.485165816350552,-0.014457690970263939,0.10282170340721952
ATO,0.6709798513677305,0.03304749905990556,-0.49035771783846027,0.08333057077121268,0.10254365309668073
ADSK,1.0765708560393485,0.011083839313065983,0.07657085603934845,-0.006624028997215652,0.2312612033641346
ADP,1.1975325536172714,0.19869253312478558,0.1975325536172713,0.16512505734259653,0.16993389275586254
AZO,0.5851851425381989,0.16050503569939212,-0.7088608840316267,0.28857568429244496,0.18067106180927145
AVB,1.1601950055504184,0.1488698474981733,0.16019500555041843,0.10456561722370561,0.27656436679933666
AVY,1.7687480493401213,0.4368105553830936,0.7687480493401214,0.1707481061898207,0.34609837309071007
AXON,1.218149110626048,0.46011097444740184,0.21814911062604794,0.3547568609206431,0.48294541850027134
BKR,0.9655945932239001,0.260175241694592,-0.03563131672188454,0.2696386414409734,0.26559219857763555
BALL,2.9157952861735854,0.3767700027481919,1.9157952861735856,-0.061820095412605296,0.22893369731418037
