Date,Our Portfolio,S&P500
2020-11-20,1.0,1.0
2020-11-23,1.0085485276408084,1.0056359306172162
2020-11-24,1.0324844660056205,1.02188868493168
2020-11-25,1.0263308323696771,1.020269585862554
2020-11-27,1.0229219535328256,1.0227151508363757
2020-11-30,1.0167017783612888,1.0180152136156673
2020-12-01,1.0199257962679862,1.0294894536554595
2020-12-02,1.0259729208173374,1.0313334409392902
2020-12-03,1.0174268475745751,1.0306897267330257
2020-12-04,1.0296055688446846,1.0397971847317031
2020-12-07,1.016990614827949,1.037784514130282
2020-12-08,1.0279492686225842,1.040676973231097
2020-12-09,1.031356342104902,1.0324044221656197
2020-12-10,1.0216691373734785,1.0310776709129847
2020-12-11,1.016759252020207,1.029773360443447
2020-12-14,1.0100562156538455,1.0252843116828507
2020-12-15,1.0251747845484656,1.0385322657285188
2020-12-16,1.0197156219314374,1.0403733707099334
2020-12-17,1.023663243220229,1.0463634813930913
2020-12-18,1.015574662059596,1.0426895752062704
2020-12-21,1.0093947689552076,1.038616538761066
2020-12-22,1.0039044241030608,1.0364633902299834
2020-12-23,1.008658445223275,1.037236396287485
2020-12-24,1.0125833710906702,1.04090467512197
2020-12-28,1.0100452791033327,1.0499839963589663
2020-12-29,1.0085842204234574,1.0476452824532845
2020-12-30,1.0107186412219884,1.0490507480123785
2020-12-31,1.0195566220681604,1.0558054237245338
2021-01-04,1.0172139404349703,1.040227196801688
2021-01-05,1.0284329174096043,1.0475947049085068
2021-01-06,1.070640079208859,1.0535763059369123
2021-01-07,1.0794854383185208,1.0692191787853766
2021-01-08,1.0735338995128725,1.0750911836957218
2021-01-11,1.0665259615590645,1.0680442287933234
2021-01-12,1.0818584130594733,1.0684883092441484
2021-01-13,1.08769699003617,1.0709198058371296
2021-01-14,1.0933846391564115,1.0669001606128714
2021-01-15,1.0996990101342723,1.059229118611137
2021-01-19,1.0943828882495823,1.067847408714052
2021-01-20,1.0952049488933233,1.0827285302096867
2021-01-21,1.0811722108315345,1.083071455570956
2021-01-22,1.0924687577413943,1.079810748023359
2021-01-25,1.0938855005538382,1.0837151697772207
2021-01-26,1.1012476020737951,1.0821016980604308
2021-01-27,1.0820658136183958,1.0543156165066447
2021-01-28,1.0836825931434648,1.0646063968996315
2021-01-29,1.0688713315055873,1.0440472768967546
2021-02-01,1.083376380305321,1.0608060811639897
2021-02-02,1.0881145944036852,1.0755494011536353
2021-02-03,1.0899952795906935,1.076634382134557
2021-02-04,1.1194524483301995,1.0883194420082134
2021-02-05,1.1231737186129023,1.0925611617710083
2021-02-08,1.1205634577563335,1.1006454024119663
2021-02-09,1.1207314592342332,1.0994198062488876
2021-02-10,1.1239206075148294,1.099040303097433
2021-02-11,1.1177101870096042,1.1008674083242551
2021-02-12,1.116894978891246,1.1060536311383102
2021-02-16,1.0997703403973582,1.105423985312886
2021-02-17,1.103641828925695,1.1050698052469443
2021-02-18,1.0927775391828252,1.100189998630221
2021-02-19,1.0955228023647807,1.0981492598933666
2021-02-22,1.0905855618425582,1.089657447965521
2021-02-23,1.0987029517662321,1.0910264043606774
2021-02-24,1.1049400870507746,1.1034113147114648
2021-02-25,1.0879288186175773,1.0764011215175966
2021-02-26,1.063424130362314,1.0712879856576645
2021-03-01,1.0868403531839914,1.0967747447721223
2021-03-02,1.0855139350132705,1.0879118707213262
2021-03-03,1.0792732797196984,1.0736969728413008
2021-03-04,1.0736282268930963,1.059290950860588
2021-03-05,1.0885847376139433,1.0799428535507645
2021-03-08,1.1015036991010665,1.0741551902992144
