Date,Our Portfolio,S&P 500,SPESG
2020-11-20,100.0,100.0,100.0
2020-11-23,100.85485588107991,100.56359306172162,100.4185130056718
2020-11-24,103.24844892381691,102.188868493168,102.02003725546138
2020-11-25,102.63308110791742,102.02695858625539,101.90469878799576
2020-11-27,102.29219697229222,102.27151508363757,102.24411709956888
2020-11-30,101.67018823127943,101.80152136156673,101.83549973013271
2020-12-01,101.99259286001447,102.94894536554595,103.0185210307914
2020-12-02,102.59729534119326,103.13334409392903,103.2129441358148
2020-12-03,101.7426826279804,103.06897267330257,103.03170515589801
2020-12-04,102.96057023662132,103.97971847317031,103.86872111070069
2020-12-07,101.69907090084183,103.7784514130282,103.66440236944172
2020-12-08,102.79493622798677,104.0676973231097,103.96757690764787
2020-12-09,103.13562922102359,103.24044221656197,103.06466044039404
2020-12-10,102.1669128090677,103.10776709129847,102.87023733537065
2020-12-11,101.67592345206104,102.9773360443447,102.5901325019658
2020-12-14,101.00563856533414,102.52843116828507,102.19798774650717
2020-12-15,102.5174944767475,103.85322657285188,103.56224802708265
2020-12-16,101.97157529040251,104.03733707099335,103.76985525721261
2020-12-17,102.36632484886199,104.63634813930913,104.26086586615928
2020-12-18,101.55747525307501,104.26895752062704,103.756671132106
2020-12-21,100.9394830427178,103.8616538761066,103.64792975546413
2020-12-22,100.39045346175295,103.64633902299833,103.4238499113566
2020-12-23,100.86586606837456,103.72363962874851,103.45350665044076
2020-12-24,101.25834585315476,104.090467512197,103.79292496201388
2020-12-28,101.0045402093535,104.99839963589663,104.926518364199
2020-12-29,100.8584287730397,104.76452824532845,104.68925439498489
2020-12-30,101.07186950087765,104.90507480123784,104.58710005262586
2020-12-31,101.95567283451406,105.58054237245338,105.16708087882498
2021-01-04,101.721401585032,104.0227196801688,103.62815859607468
2021-01-05,102.84330722785033,104.75947049085067,104.37290578821303
2021-01-06,107.06400511757892,105.35763059369123,104.74526932774131
2021-01-07,107.9485491807588,106.92191787853767,106.32373392927047
2021-01-08,107.35339967867563,107.50911836957218,106.80814744739342
2021-01-11,106.65260604995356,106.80442287933234,106.21499255262859
2021-01-12,108.18584683656447,106.84883092441484,106.14249494935368
2021-01-13,108.76969865998096,107.09198058371297,106.4885002952097
2021-01-14,109.3384642927157,106.69001606128714,105.95795742402503
2021-01-15,109.96991377539631,105.9229118611137,105.24946406179455
2021-01-19,109.4383073161846,106.78474087140519,106.08646996005635
2021-01-20,109.52049781928307,108.27285302096867,107.74401919914325
2021-01-21,108.11722699007957,108.3071455570956,107.96481055437981
2021-01-22,109.24688464044586,107.9810748023359,107.71436246005912
2021-01-25,109.38854312773947,108.37151697772207,108.12627837490716
2021-01-26,110.1247731599423,108.21016980604308,108.02742257796001
2021-01-27,108.20658550297091,105.43156165066448,105.27912080087872
