Date,Our Portfolio,S&P 500,SPESG
2020-11-20,1.0,1.0,1.0
2020-11-23,1.0085485269717347,1.0056359306172162,1.004185130056718
2020-11-24,1.0324845660155269,1.02188868493168,1.0202003725546138
2020-11-25,1.0263308710269974,1.020269585862554,1.0190469878799575
2020-11-27,1.0229219197981625,1.0227151508363757,1.0224411709956889
2020-11-30,1.0167018166232502,1.0180152136156673,1.018354997301327
2020-12-01,1.0199257696147117,1.0294894536554595,1.030185210307914
2020-12-02,1.0259729286196664,1.0313334409392902,1.0321294413581479
2020-12-03,1.017426930992496,1.0306897267330257,1.0303170515589801
2020-12-04,1.0296056261102027,1.0397971847317031,1.038687211107007
2020-12-07,1.0169906720728616,1.037784514130282,1.0366440236944172
2020-12-08,1.0279493230582883,1.040676973231097,1.0396757690764786
2020-12-09,1.0313564913593454,1.0324044221656197,1.0306466044039404
2020-12-10,1.0216691675344947,1.0310776709129847,1.0287023733537064
2020-12-11,1.0167593497405165,1.029773360443447,1.025901325019658
2020-12-14,1.0100562830730273,1.0252843116828507,1.0219798774650717
2020-12-15,1.02517496718367,1.0385322657285188,1.0356224802708265
2020-12-16,1.0197156080376601,1.0403733707099334,1.037698552572126
2020-12-17,1.023663282083894,1.0463634813930913,1.0426086586615928
2020-12-18,1.0155745522581583,1.0426895752062704,1.03756671132106
2020-12-21,1.009394777893508,1.038616538761066,1.0364792975546413
2020-12-22,1.0039044752443165,1.0364633902299834,1.034238499113566
2020-12-23,1.008658574041228,1.037236396287485,1.0345350665044075
2020-12-24,1.0125835119986553,1.04090467512197,1.0379292496201389
2020-12-28,1.0100453876293747,1.0499839963589663,1.04926518364199
2020-12-29,1.0085841922594192,1.0476452824532845,1.0468925439498489
2020-12-30,1.0107187420084351,1.0490507480123785,1.0458710005262586
2020-12-31,1.0195566079189156,1.0558054237245338,1.0516708087882498
2021-01-04,1.0172141015464007,1.040227196801688,1.0362815859607468
2021-01-05,1.0284330013820326,1.0475947049085068,1.0437290578821303
2021-01-06,1.0706400331245098,1.0535763059369123,1.047452693277413
