ticker,price_m2,actual_date_m2,momentum_value_12m,volatility_12m,risk_adj_momentum_12m,price_m14,actual_date_m14,trading_days_12m,momentum_value,volatility,risk_adj_momentum,momentum_value_6m,volatility_6m,risk_adj_momentum_6m,price_m8,actual_date_m8,trading_days_6m
AMZN,225.33999633789062,2025-09-02,0.2624089430694152,0.02123488619839716,12.357445225641106,178.5,2024-08-30,251,0.2624089430694152,0.02123488619839716,12.357445225641106,0.06152250628271361,0.02435688421949265,2.5258775189922513,212.27999877929688,2025-02-28,128
AMCR,8.420000076293945,2025-09-02,-0.2261089795799588,0.01628493193339487,-13.884551713494483,10.880084991455078,2024-08-30,251,-0.2261089795799588,0.01628493193339487,-13.884551713494483,-0.1562190475425923,0.018735812602657807,-8.337991570241876,9.978893280029297,2025-02-28,128
AEE,99.01191711425781,2025-09-02,0.24526346232196428,0.011483576994587259,21.35775833937181,79.51081848144531,2024-08-30,251,0.24526346232196428,0.011483576994587259,21.35775833937181,-0.003668656715501206,0.011710202842758357,-0.3132872047361605,99.37649536132812,2025-02-28,128
AEP,109.22871398925781,2025-09-02,0.13818543672563677,0.012150996611934592,11.372354148293676,95.96741485595703,2024-08-30,251,0.13818543672563677,0.012150996611934592,11.372354148293676,0.05599013757984661,0.01256375283895908,4.45648193637065,103.43724822998047,2025-02-28,128
AXP,330.34295654296875,2025-09-02,0.294312990213208,0.02004818081061772,14.68028411123152,255.2264862060547,2024-08-30,251,0.294312990213208,0.02004818081061772,14.68028411123152,0.10685264934723926,0.023519630991927543,4.5431260968300675,298.4525146484375,2025-02-28,128
AIG,80.57652282714844,2025-09-02,0.07431604362803057,0.014667639485033865,5.066666910095451,75.00262451171875,2024-08-30,251,0.07431604362803057,0.014667639485033865,5.066666910095451,-0.012885553683451345,0.01582932545236562,-0.8140304981552868,81.62834930419922,2025-02-28,128
AMT,198.73809814453125,2025-09-02,-0.07598077852725338,0.016798236242937813,-4.523140252846286,215.08004760742188,2024-08-30,251,-0.07598077852725338,0.016798236242937813,-4.523140252846286,-0.009189370160293864,0.01605550769965271,-0.5723500204538929,200.58131408691406,2025-02-28,128
AWK,141.41000366210938,2025-09-02,0.011624222229184245,0.01495140651676702,0.777466803283587,139.7851104736328,2024-08-30,251,0.011624222229184245,0.01495140651676702,0.777466803283587,0.05224334934046926,0.01595876418616602,3.2736463006174885,134.38906860351562,2025-02-28,128
AMP,511.04180908203125,2025-09-02,0.15499957961310473,0.018594359383752628,8.335838649463783,442.4606018066406,2024-08-30,251,0.15499957961310473,0.018594359383752628,8.335838649463783,-0.03933392636052524,0.021065711154297048,-1.8672014475287146,531.9661254882812,2025-02-28,128
AME,184.50836181640625,2025-09-02,0.08763814678564552,0.014458479692718618,6.061366661515639,169.6413116455078,2024-08-30,251,0.08763814678564552,0.014458479692718618,6.061366661515639,-0.02027796469272336,0.01577611833842155,-1.2853583028302915,188.32725524902344,2025-02-28,128
AMGN,286.9200134277344,2025-09-02,-0.1117824690642828,0.016837265928620247,-6.638991718618236,323.02899169921875,2024-08-30,251,-0.1117824690642828,0.016837265928620247,-6.638991718618236,-0.05276960107955586,0.017513709887731925,-3.013045289537434,302.9041442871094,2025-02-28,128
APH,109.09882354736328,2025-09-02,0.6346218409778879,0.022398869136504868,28.33276256539238,66.74254608154297,2024-08-30,251,0.6346218409778879,0.022398869136504868,28.33276256539238,0.6475512726819408,0.022571480010254358,28.688915055094057,66.2187728881836,2025-02-28,128
ADI,248.32000732421875,2025-09-02,0.07982120004477489,0.025158063266950647,3.172787952625649,229.96400451660156,2024-08-30,251,0.07982120004477489,0.025158063266950647,3.172787952625649,0.09330943453774565,0.028803971296824455,3.239464224436049,227.12692260742188,2025-02-28,128
AON,371.9599914550781,2025-09-02,0.09070157063939877,0.01350927843019099,6.71402037555876,341.0281982421875,2024-08-30,251,0.09070157063939877,0.01350927843019099,6.71402037555876,-0.08700381089710574,0.015677206068366152,-5.549701299944264,407.4058532714844,2025-02-28,128
APA,23.5760498046875,2025-09-02,-0.11995759497433522,0.03342192687643766,-3.5891884814967057,26.789674758911133,2024-08-30,251,-0.11995759497433522,0.03342192687643766,-3.5891884814967057,0.18651877290361818,0.03933923812623251,4.741290929557739,19.86993408203125,2025-02-28,128
APO,135.83999633789062,2025-09-02,0.18900026404687287,0.026715914029448267,7.074444985806689,114.24723815917969,2024-08-30,251,0.18900026404687287,0.026715914029448267,7.074444985806689,-0.08338288418383188,0.031328145054070736,-2.6615965943696125,148.1970977783203,2025-02-28,128
AAPL,229.49752807617188,2025-09-02,0.00781277954595061,0.02025252117316183,0.3857682448101288,227.71841430664062,2024-08-30,251,0.00781277954595061,0.02025252117316183,0.3857682448101288,-0.04779067887272692,0.024873809432190457,-1.9213252800304317,241.01583862304688,2025-02-28,128
AMAT,157.57000732421875,2025-09-02,-0.19289520104213476,0.028824444377611974,-6.6920700539836595,195.2286834716797,2024-08-30,251,-0.19289520104213476,0.028824444377611974,-6.6920700539836595,0.002536410785541676,0.030420728795620484,0.08337771269657518,157.17135620117188,2025-02-28,128
APTV,78.38999938964844,2025-09-02,0.09590382674991837,0.025187844336231724,3.807544046632228,71.52999877929688,2024-08-30,251,0.09590382674991837,0.025187844336231724,3.807544046632228,0.20377758113290168,0.02711794834074006,7.514491088057752,65.12000274658203,2025-02-28,128
ACGL,91.31999969482422,2025-09-02,-0.1508047758994896,0.01680299872354181,-8.974872781975806,107.537109375,2024-08-30,251,-0.1508047758994896,0.01680299872354181,-8.974872781975806,-0.01711337751172204,0.01731647169243512,-0.9882716188193347,92.91000366210938,2025-02-28,128
ADM,62.04999923706055,2025-09-02,0.058129609994925335,0.017796001407400782,3.26644220036705,58.64120864868164,2024-08-30,251,0.058129609994925335,0.017796001407400782,3.26644220036705,0.33951568533587584,0.01932347037948322,17.57011958350701,46.32271194458008,2025-02-28,128
ANET,135.8699951171875,2025-09-02,0.5379477416923413,0.03482350950179683,15.447832495589916,88.34500122070312,2024-08-30,251,0.5379477416923413,0.03482350950179683,15.447832495589916,0.4601825971097673,0.03581088686989106,12.85035466398007,93.05000305175781,2025-02-28,128
AJG,301.9149169921875,2025-09-02,0.042390510331712816,0.014670530487252567,2.8895008512845894,289.6370544433594,2024-08-30,251,0.042390510331712816,0.014670530487252567,2.8895008512845894,-0.1006349278786911,0.01663428234684774,-6.049850891088297,335.6978454589844,2025-02-28,128
AIZ,214.57000732421875,2025-09-02,0.11334248420627269,0.01740304541265991,6.5127959801691535,192.72596740722656,2024-08-30,251,0.11334248420627269,0.01740304541265991,6.5127959801691535,0.04006557814034384,0.020324799043321108,1.9712656472000745,206.30430603027344,2025-02-28,128
T,28.7702579498291,2025-09-02,0.5298995700146643,0.014266442327984305,37.14307728810854,18.80532455444336,2024-08-30,251,0.5298995700146643,0.014266442327984305,37.14307728810854,0.08290066797978679,0.015064334803551335,5.503108438631051,26.567771911621094,2025-02-28,128
ATO,165.4600067138672,2025-09-02,0.2941753981182065,0.010922853103448722,26.932102384982652,127.8497543334961,2024-08-30,251,0.2941753981182065,0.010922853103448722,26.932102384982652,0.09935823380622888,0.011342704904279821,8.759659591314863,150.50599670410156,2025-02-28,128
ADSK,319.1600036621094,2025-09-02,0.2351393622322051,0.018522708175045303,12.694653503692097,258.3999938964844,2024-08-30,251,0.2351393622322051,0.018522708175045303,12.694653503692097,0.16392550821546226,0.02068061683864888,7.926528956772256,274.2099914550781,2025-02-28,128
ADP,298.22100830078125,2025-09-02,0.10898911495639219,0.01205769788253227,9.038965482315028,268.9124755859375,2024-08-30,251,0.10898911495639219,0.01205769788253227,9.038965482315028,-0.03904708962362069,0.014112370974572207,-2.766869556786459,310.3388366699219,2025-02-28,128
