ticker
ADM
AEE
ALLE
AMD
ANET
APH
ATO
AVGO
AXON
AZO
BA
BEN
BK
BKNG
BLK
BSX
C
CAH
CAT
CBRE
CCL
CDNS
CHRW
CME
CNP
COF
COR
CRWD
CSCO
CTVA
CVS
DASH
DG
DHI
DIS
DLTR
DRI
EA
EBAY
EL
EQT
ETR
EVRG
EW
EXE
EXPE
F
FAST
FE
FFIV
FOX
FOXA
FSLR
GD
GE
GEV
GILD
GL
GLW
GM
GNRC
GOOG
GOOGL
GS
HAS
HCA
HIG
HII
HLT
HWM
IDXX
IVZ
J
JBL
JCI
JPM
KMI
KR
LDOS
LHX
LRCX
LVS
LYV
MA
META
MLM
MNST
MO
MOS
MPC
MPWR
MS
MSFT
NDAQ
NEM
NFLX
NI
NOC
NRG
NSC
NTRS
NVDA
ORCL
ORLY
PHM
PLTR
PM
PODD
PPL
PTC
PWR
RCL
RF
RJF
RL
RMD
RTX
SCHW
SNPS
SRE
STT
STX
SYF
T
TDY
TEL
TJX
TKO
TMUS
TPR
TRMB
TT
TTWO
UAL
UBER
ULTA
URI
V
VMC
VRSN
VST
VTRS
WDC
WEC
WELL
WFC
WMB
WMT
WRB
WYNN
XEL
