ticker,weight,price,dollar_allocation,shares,momentum_score_12m,avg_esg_score
MCK,0.14430530038054226,842.0900268554688,144305.30038054226,171.365645,1.8296259899953915,8.0
EME,0.08756444353711507,619.8599853515625,87564.44353711506,141.264875,2.472795832688103,8.2667
COR,0.058110780097061464,361.94000244140625,58110.78009706146,160.553627,2.1317844973545856,8.3867
WMB,0.1580185556965036,60.9900016784668,158018.5556965036,2590.892791,2.1060617185446504,7.8
PWR,0.030401483847077238,429.29998779296875,30401.483847077237,70.81641,1.876852037794345,7.5667
CAH,0.020711922106500566,205.3699951171875,20711.922106500566,100.851744,2.5928764909826807,8.0
GS,0.09406407363746584,790.9099731445312,94064.07363746584,118.931455,2.4151101428629023,7.3
ANET,0.044562805614303876,131.3699951171875,44562.80561430388,339.21601,1.92758231375467,7.3667
WELL,0.10605855569457115,193.82000732421875,106058.55569457114,547.201278,3.062831394487896,7.5
BK,0.035428493069281176,110.4800033569336,35428.493069281176,320.677878,3.699972045370299,8.0
STX,0.0499276820763201,258.2099914550781,49927.682076320096,193.360767,3.0109671425589903,8.0333
MS,0.0,163.86000061035156,0.0,0.0,2.49867860541264,7.7
KMI,0.0,27.420000076293945,0.0,0.0,2.1230339838527263,9.3333
AXP,0.0,357.17999267578125,0.0,0.0,1.8673502865047904,7.6667
WDC,0.0,157.8300018310547,0.0,0.0,2.488891935875971,8.8
TPR,0.029571080679059246,101.41000366210938,29571.080679059247,291.599247,4.0,7.4333
RJF,0.0,158.72999572753906,0.0,0.0,2.5591632082669857,7.5
JCI,0.0,118.72000122070312,0.0,0.0,2.641327931217197,8.3
GILD,0.07633337352302504,125.0199966430664,76333.37352302503,610.569313,2.8541877749324938,9.8667
AXON,0.03355105801081702,554.3699951171875,33551.058010817025,60.521057,2.95314850671574,8.1667
EQT,0.01086084801784489,59.900001525878906,10860.84801784489,181.316323,2.5939683530174484,8.1333
WSM,0.020529544012511402,182.24000549316406,20529.544012511404,112.651138,1.8331121807225224,10.0
NDAQ,0.0,87.08000183105469,0.0,0.0,2.425582055626326,8.0
NI,0.0,42.880001068115234,0.0,0.0,2.728102274003644,8.9
CBRE,0.0,153.66000366210938,0.0,0.0,2.2905534376658205,9.1667
