ticker,price_m2,actual_date_m2,momentum_value_12m,volatility_12m,risk_adj_momentum_12m,price_m14,actual_date_m14,trading_days_12m,momentum_value,volatility,risk_adj_momentum,momentum_value_6m,volatility_6m,risk_adj_momentum_6m,price_m8,actual_date_m8,trading_days_6m,z_score_12m,z_score_winsorized_12m,momentum_score_12m,mean_ram_12m,std_ram_12m,z_score,z_score_winsorized,momentum_score,z_score_6m,z_score_winsorized_6m,momentum_score_6m,mean_ram_6m,std_ram_6m
TPR,102.40145111083984,2025-09-02,1.5666729166784195,0.028292108632173758,55.37490814300072,39.89657211303711,2024-08-30,251,1.5666729166784195,0.028292108632173758,55.37490814300072,0.21391553324158852,0.030313693510270107,7.056729433815617,84.3563232421875,2025-02-28,128,4.060830334040317,3.0,4.0,3.6276226141179007,12.743030678998332,4.060830334040317,3.0,4.0,0.6253380444893367,0.6253380444893367,1.6253380444893368,1.8592864368602078,8.311413391135899
BK,104.18614196777344,2025-09-02,0.5706588448982146,0.015004130747823065,38.0334492207095,66.332763671875,2024-08-30,251,0.5706588448982146,0.015004130747823065,38.0334492207095,0.19067000770855413,0.01675555995560141,11.379506755595646,87.50211334228516,2025-02-28,128,2.699972045370299,2.699972045370299,3.699972045370299,3.6276226141179007,12.743030678998332,2.699972045370299,2.699972045370299,3.699972045370299,1.1454393940853345,1.1454393940853345,2.1454393940853347,1.8592864368602078,8.311413391135899
PODD,344.9200134277344,2025-09-02,0.7010406182379285,0.023388049116435754,29.974309304202638,202.77000427246094,2024-08-30,251,0.7010406182379285,0.023388049116435754,29.974309304202638,0.26683081994179836,0.028481461432579933,9.368578946464126,272.2699890136719,2025-02-28,128,2.0675369426447716,2.0675369426447716,3.0675369426447716,3.6276226141179007,12.743030678998332,2.0675369426447716,2.0675369426447716,3.0675369426447716,0.9034916392935719,0.9034916392935719,1.903491639293572,1.8592864368602078,8.311413391135899
WELL,167.08755493164062,2025-09-02,0.41581671656067565,0.013900244102313405,29.914346359678074,118.01496124267578,2024-08-30,251,0.41581671656067565,0.013900244102313405,29.914346359678074,0.10261618162563813,0.014321017948578159,7.165425111126701,151.53736877441406,2025-02-28,128,2.062831394487896,2.062831394487896,3.062831394487896,3.6276226141179007,12.743030678998332,2.062831394487896,2.062831394487896,3.062831394487896,0.6384159257347826,0.6384159257347826,1.6384159257347826,1.8592864368602078,8.311413391135899
STX,169.96426391601562,2025-09-02,0.76056418837701,0.02599913803691073,29.253438606204725,96.53965759277344,2024-08-30,251,0.76056418837701,0.02599913803691073,29.253438606204725,0.6957027487555998,0.031340609979637904,22.198124069939933,100.23234558105469,2025-02-28,128,2.0109671425589903,2.0109671425589903,3.0109671425589903,3.6276226141179007,12.743030678998332,2.0109671425589903,2.0109671425589903,3.0109671425589903,2.447097343849007,2.447097343849007,3.447097343849007,1.8592864368602078,8.311413391135899
AXON,743.5900268554688,2025-09-02,1.0374004010422988,0.036378756169953085,28.516653955836354,364.9700012207031,2024-08-30,251,1.0374004010422988,0.036378756169953085,28.516653955836354,0.4071151663899517,0.03308867648086881,12.303760974704966,528.4500122070312,2025-02-28,128,1.95314850671574,1.95314850671574,2.95314850671574,3.6276226141179007,12.743030678998332,1.95314850671574,1.95314850671574,2.95314850671574,1.256642408014955,1.256642408014955,2.256642408014955,1.8592864368602078,8.311413391135899
FFIV,306.7300109863281,2025-09-02,0.5098696539593461,0.0183636575806773,27.76514709661346,203.14999389648438,2024-08-30,251,0.5098696539593461,0.0183636575806773,27.76514709661346,0.0489006554344833,0.01905208300131104,2.5666828887486095,292.42999267578125,2025-02-28,128,1.894174556314644,1.894174556314644,2.8941745563146437,3.6276226141179007,12.743030678998332,1.894174556314644,1.894174556314644,2.8941745563146437,0.08511145079642389,0.08511145079642389,1.085111450796424,1.8592864368602078,8.311413391135899
GILD,111.93268585205078,2025-09-02,0.47272147250053287,0.017344016316146377,27.25559431470632,76.00397491455078,2024-08-30,251,0.47272147250053287,0.017344016316146377,27.25559431470632,-2.658191171789337e-05,0.019344692079456747,-0.00137411914383079,111.93566131591797,2025-02-28,128,1.8541877749324938,1.8541877749324938,2.8541877749324938,3.6276226141179007,12.743030678998332,1.8541877749324938,1.8541877749324938,2.8541877749324938,-0.22386812789127158,-0.22386812789127158,0.8170814953102856,1.8592864368602078,8.311413391135899
CSCO,67.39306640625,2025-09-02,0.3783007304490944,0.014161628105042628,26.713081832334677,48.8957633972168,2024-08-30,251,0.3783007304490944,0.014161628105042628,26.713081832334677,0.07102019278825189,0.016978181939573653,4.183026960190256,62.92417907714844,2025-02-28,128,1.8116145051948829,1.8116145051948829,2.811614505194883,3.6276226141179007,12.743030678998332,1.8116145051948829,1.8116145051948829,2.811614505194883,0.2795842793487221,0.2795842793487221,1.2795842793487222,1.8592864368602078,8.311413391135899
NI,41.830135345458984,2025-09-02,0.31095670622444227,0.012123596467630655,25.64888290819311,31.908098220825195,2024-08-30,251,0.31095670622444227,0.012123596467630655,25.64888290819311,0.04607711031179074,0.013460585295803193,3.4231134307478355,39.98762130737305,2025-02-28,128,1.7281022740036434,1.7281022740036434,2.7281022740036436,3.6276226141179007,12.743030678998332,1.7281022740036434,1.7281022740036434,2.7281022740036436,0.18815415866036037,0.18815415866036037,1.1881541586603603,1.8592864368602078,8.311413391135899
