ticker,momentum_score
TPR,4.0
BK,3.699972045370299
PODD,3.0675369426447716
WELL,3.062831394487896
STX,3.0109671425589903
AXON,2.95314850671574
FFIV,2.8941745563146437
GILD,2.8541877749324938
CSCO,2.811614505194883
NI,2.7281022740036436
JCI,2.641327931217197
EVRG,2.6359592588848146
EQT,2.5939683530174484
CAH,2.5928764909826807
RJF,2.5591632082669857
MS,2.49867860541264
WDC,2.488891935875971
EME,2.472795832688103
NDAQ,2.425582055626326
GS,2.4151101428629023
ULTA,2.351064221124016
CBRE,2.2905534376658205
STT,2.263993999750655
SYF,2.249343392059589
V,2.2374565126165242
KR,2.2100357651867015
NEM,2.1851111657338413
COR,2.1317844973545856
KMI,2.1230339838527263
TRMB,2.122027298965323
WMB,2.1060617185446504
XEL,2.0819070357174065
MA,2.0389395988181054
ANET,1.92758231375467
CMI,1.9119898053677122
EXC,1.8931095152708726
BR,1.8820533276855265
PWR,1.876852037794345
AXP,1.8673502865047906
ALLE,1.857434963332365
DAL,1.8367167983405324
WSM,1.8331121807225224
MCK,1.8296259899953915
LH,1.8178450679732152
MSFT,1.8173932795647032
DE,1.8119964306124943
TRV,1.8046937691567173
BKR,1.8046362694579856
LHX,1.7957330934963482
CHRW,1.792645854562899
INCY,1.7699203140487518
NVDA,1.7601849600776998
URI,1.7328759684591308
ADSK,1.7115286086941222
IBM,1.6952674609869587
IDXX,1.674600369205578
PNR,1.6729962537735732
LNT,1.6631116337560627
ROK,1.660352637390729
J,1.6154607268072625
HBAN,1.6112518214881941
DGX,1.5980621018516539
HIG,1.5947226447220675
RF,1.564146313341329
MLM,1.5571729217876928
DTE,1.5552275583889696
CDNS,1.5527594959718145
EW,1.5440902998489807
DLTR,1.537026503717677
CAT,1.4801647244062353
WTW,1.4792425248689214
CBOE,1.4788901759598603
DUK,1.471942912095874
TSCO,1.4530346625999555
MMM,1.4383685345752735
ADP,1.4246509453442018
PNC,1.4192608243107228
NOC,1.4113512093923937
PTC,1.4112535754125413
HD,1.3949835651674645
TT,1.3613055555027656
ECL,1.338892933434123
LDOS,1.3310817303638895
CMS,1.3019692911452092
GEN,1.3017978756940674
EA,1.280995842104172
TRGP,1.2635636507331784
HPE,1.2612671084165696
MSI,1.2389989636073027
D,1.2274538443216838
LRCX,1.2252963049987187
DLR,1.1915742149847164
SNPS,1.151207843434986
K,1.1151015160198403
HUBB,1.0614040027303615
HON,1.056436479006574
PAYX,1.0522778113721687
SPGI,1.0487034717459272
LOW,1.0347314206533686
STLD,1.0239352546450102
MET,1.0126077318844229
VLO,1.000785175029086
ADM,0.972438091636704
ADI,0.9655374906873376
PEG,0.9576979378643488
KEYS,0.9550312385085197
INTU,0.9407791969390332
AMD,0.9391294800073473
REG,0.9319008011903877
GWW,0.9307879325816552
INTC,0.9301977966869865
NOW,0.9277664674106288
TROW,0.9215886136152055
IP,0.9016119790102288
PANW,0.9008222768792811
XYL,0.886289070166558
MCO,0.874164642347994
SW,0.8339095603893766
STE,0.8269303824755003
BXP,0.8199047080238148
PHM,0.8024435959635711
CRM,0.7919425942653565
PGR,0.762333337006291
PSX,0.7579556762894407
EXPD,0.7558201588286462
ES,0.7453687663552602
NUE,0.7439035812012261
GPC,0.7359203566704157
NTAP,0.7301359084131033
KVUE,0.7268476591169772
TXN,0.7104721719149918
KO,0.7024440924762165
NXPI,0.6721054727207104
DOV,0.6704115139681509
CSX,0.6649491197951796
TAP,0.6623301995673668
EQIX,0.6492487913759805
LII,0.6459177951267572
FSLR,0.6438867522518714
NEE,0.6300818421837365
HUM,0.6266700500582033
PRU,0.6248193508953116
CCI,0.6134239905746801
DVA,0.6101011861682596
VLTO,0.6100827923445602
AMT,0.6098957617581086
ZBH,0.605576022446499
PG,0.602869114943994
COP,0.601082883405061
FICO,0.5987248370634686
MTD,0.5898059848263614
CARR,0.5845808640281341
CHD,0.579186677479728
SBAC,0.5789095617529915
WAT,0.5776577784591734
POOL,0.5698267742685468
A,0.5697948297768256
WDAY,0.5681447468010288
WST,0.5678121569537105
KMB,0.55887398303474
GDDY,0.5545747040010439
AMGN,0.5538127608312227
AMAT,0.5525379831248005
DECK,0.5477223352178657
SLB,0.5457501722597231
IR,0.5409729534093413
HPQ,0.5393450964130351
MMC,0.5392119471752206
JBHT,0.5377085935207311
PPG,0.535429330036915
UNP,0.5347788985902481
LULU,0.5320125709757481
OKE,0.5300070007515941
CI,0.5181968065779339
FANG,0.5147068562536431
VRTX,0.5141489984775632
ODFL,0.5125454355637548
BBY,0.5115754379256814
MKC,0.5114873516898821
FDS,0.5113872873981081
FIS,0.50716604499966
IRM,0.5034759591980488
BG,0.5012589449990488
FTV,0.49934501367225076
WY,0.4985584735225826
AKAM,0.4935674247246892
ZTS,0.4886614745266611
DOC,0.4855878245160958
HOLX,0.48327533221053176
IEX,0.4680881845038189
BALL,0.4644412228437582
IQV,0.4625502828322889
RVTY,0.4443473719749357
DHR,0.4439139831488224
KDP,0.44174093835728245
HRL,0.44084007321615515
ACN,0.4280403181683369
AMCR,0.4211847408144813
MOH,0.41632105844506284
KHC,0.4129906755638025
CL,0.41232919383255695
TGT,0.405905332916643
AVY,0.40021141970301854
LYB,0.3924162156303524
CLX,0.3891950892756226
BIIB,0.38274229093066986
COO,0.37210307337930904
ELV,0.3703650221927634
CNC,0.37029055634620317
DOW,0.36684359954289836
ADBE,0.36631909471785823
IFF,0.355488505424237
IT,0.34321405404251915
GIS,0.34036639292533566
