ticker,weight,price,dollar_allocation,shares,momentum_score_12m,avg_esg_score
MCK,0.19150285158164,842.0900268554688,191502.85158164,227.413751,1.8296259899953915,8.0
EME,0.087276127313456,619.8599853515625,87276.127313456,140.799744,2.472795832688103,8.2667
COR,0.1429332947853385,361.94000244140625,142933.2947853385,394.908808,2.1317844973545856,8.3867
WMB,0.17185970680565918,60.9900016784668,171859.70680565917,2817.834105,2.1060617185446504,7.8
PWR,0.022355792705053914,429.29998779296875,22355.792705053915,52.07499,1.876852037794345,7.5667
CAH,0.013036975004717608,205.3699951171875,13036.975004717608,63.480427,2.5928764909826807,8.0
GS,0.10615583095293321,790.9099731445312,106155.83095293322,134.219866,2.4151101428629023,7.3
ANET,0.05494935215618617,131.3699951171875,54949.35215618617,418.279319,1.92758231375467,7.3667
WELL,0.13510025274100781,193.82000732421875,135100.2527410078,697.039767,3.062831394487896,7.5
BK,0.0663881150430314,110.4800033569336,66388.1150430314,600.906164,3.699972045370299,8.0
STX,0.0667368288546463,258.2099914550781,66736.8288546463,258.459514,3.0109671425589903,8.0333
MS,-0.06333418397385264,163.86000061035156,-63334.18397385264,-386.513998,2.49867860541264,7.7
KMI,-0.08961436926614506,27.420000076293945,-89614.36926614506,-3268.211853,2.1230339838527263,9.3333
AXP,-0.03913479455412047,357.17999267578125,-39134.794554120475,-109.566032,1.8673502865047904,7.6667
WDC,-0.024404545069854126,157.8300018310547,-24404.545069854124,-154.625513,2.488891935875971,8.8
TPR,0.033224773803931254,101.41000366210938,33224.77380393125,327.628169,4.0,7.4333
RJF,-0.04710549932834272,158.72999572753906,-47105.499328342725,-296.764951,2.5591632082669857,7.5
JCI,-0.06141027144880595,118.72000122070312,-61410.27144880595,-517.269801,2.641327931217197,8.3
GILD,0.16405949880093673,125.0199966430664,164059.49880093674,1312.266063,2.8541877749324938,9.8667
AXON,0.04749509828502753,554.3699951171875,47495.09828502753,85.674006,2.95314850671574,8.1667
EQT,-0.01115945990397903,59.900001525878906,-11159.45990397903,-186.301496,2.5939683530174484,8.1333
WSM,0.02432680453557195,182.24000549316406,24326.804535571948,133.487729,1.8331121807225224,10.0
NDAQ,0.02812593054545535,87.08000183105469,28125.93054545535,322.989549,2.425582055626326,8.0
NI,0.08340468436846987,42.880001068115234,83404.68436846987,1945.071882,2.728102274003644,8.9
CBRE,-0.10276879473796259,153.66000366210938,-102768.79473796258,-668.806406,2.2905534376658205,9.1667
