ticker,mean_monthly,std_monthly,annual_return,annual_vol,sharpe
GEV,0.07968700352773261,0.12331282408616595,0.9562440423327914,0.42716815308408523,2.2385658561596022
HWM,0.0412469580102566,0.09900659992310479,0.4949634961230792,0.3429689227029248,1.4431730205241078
AVGO,0.04341655784506317,0.10760218056330474,0.5209986941407581,0.3727448874816882,1.3977353188146762
PWR,0.03492006478111764,0.08839504971697175,0.4190407773734117,0.3062094344947439,1.3684776828148466
COR,0.025127113125332882,0.06405688164477476,0.30152535750399456,0.2218995471663522,1.3588371916683046
APH,0.02704395022442818,0.06987881646265605,0.3245274026931382,0.24206732097220152,1.3406493755115594
BSX,0.02082758808901991,0.05448695578984448,0.24993105706823893,0.18874835155553968,1.3241496151276113
NVDA,0.05516902137887555,0.1460230076690788,0.6620282565465065,0.5058385367137286,1.3087738645764173
MPC,0.03306362871784481,0.08775888441814288,0.3967635446141377,0.30400569325557625,1.3051187968397038
GE,0.034769816101151714,0.09257323767987631,0.4172377932138206,0.32068310216539075,1.3010906729929044
VST,0.046863628115444825,0.12598090629341296,0.562363537385338,0.43641066096752995,1.288610906384753
ANET,0.04043797937828918,0.10949796160812866,0.4852557525394701,0.37931206566101033,1.2793048164545897
WMB,0.024025501373716576,0.0659118642832282,0.2883060164845989,0.22832539552027128,1.2626979834093943
ORLY,0.022059423372658916,0.06063679769003417,0.264713080471907,0.21005202881482862,1.260226249493952
CAH,0.027217843305599874,0.0755070815400207,0.3266141196671985,0.2615642031171238,1.2486957916062638
AZO,0.022339037206029026,0.06390135751187438,0.2680684464723483,0.22136079576637913,1.211002361751824
WELL,0.023098283657398314,0.0667206259151098,0.27717940388877976,0.23112702799553378,1.1992513653320367
GD,0.01709426492873353,0.05017701279384921,0.20513117914480233,0.17381827106196082,1.1801473912468008
JBL,0.032860071551849626,0.096623128109224,0.3943208586221955,0.334712334142825,1.1780888195591113
HIG,0.022494988115576913,0.06885505576425754,0.26993985738692294,0.23852090988336472,1.1317240803706556
TKO,0.02953211929144021,0.09084931825364644,0.3543854314972825,0.3147112700966205,1.1260652705207588
GS,0.026234676543124124,0.08100678175803407,0.3148161185174895,0.2806157235251174,1.121876260398897
BK,0.022420429210749906,0.07048211434362986,0.26904515052899886,0.24415720613609207,1.1019340972432097
WRB,0.020209878533447943,0.06426537528297031,0.24251854240137533,0.22262179031517138,1.089374683664324
NRG,0.0363004889760107,0.11671232501553702,0.4356058677121284,0.40430335359280434,1.077423335327687
