ticker,momentum_score
GEV,4.0
PLTR,4.0
TPR,4.0
RCL,3.78726492937134
BK,3.407794054335722
UAL,3.3690293246747514
CNP,3.3687190985404625
LYV,3.3596075492862534
DASH,3.359410318037839
T,3.3431858175305047
HWM,3.196623272294092
NFLX,3.191968956248307
JBL,3.1742292276296933
RL,3.0947140493153293
GLW,3.0252172022530757
VRSN,2.945933350437943
PODD,2.8229949719541576
WELL,2.8186441343912554
CCL,2.8167610069553315
SCHW,2.81480314749456
FAST,2.796589564266232
STX,2.7706864877988293
ETR,2.7659103391074824
ORLY,2.750634489657018
FOXA,2.718373198524459
AXON,2.717222471165117
GE,2.7108521459522796
APH,2.7038787379039078
MO,2.6742571144768297
FFIV,2.662690540864027
GILD,2.625716593670856
TKO,2.620760814247708
ATO,2.602241853822508
FOX,2.6019655800787476
C,2.590775797054687
CSCO,2.5863490996402296
VST,2.5859137183675553
TTWO,2.5168405816606176
NI,2.5091268579756516
EBAY,2.4880678184845966
CME,2.462838727642329
NTRS,2.46024115924019
WYNN,2.4361629419190436
BKNG,2.4314883764884287
JCI,2.428887957537027
EVRG,2.4239243204815573
EQT,2.38509620067838
CAH,2.3840873689990016
PM,2.382976172352172
RJF,2.3529131540148676
AVGO,2.351851130215201
AZO,2.3182904921772254
MS,2.296985293654747
WDC,2.287934509435032
MNST,2.2329471766444255
NDAQ,2.2293936197576842
ORCL,2.222723730797723
GS,2.2197105647185995
BSX,2.2003252105178808
AEE,2.1977487932992203
COF,2.1970120140293057
NRG,2.1818538668985745
JPM,2.1624504245455656
ULTA,2.160488216905974
WFC,2.1573792975597517
LVS,2.13176674641366
EXPE,2.1147479691224307
CBRE,2.104535210475776
GL,2.095821466164227
STT,2.0799763030814606
CTVA,2.072597358534482
SYF,2.0664292028428966
V,2.055439510008161
DRI,2.0424241482416967
EXE,2.0409103328410407
TEL,2.0345578984803705
KR,2.0300824714975043
RTX,2.016204169816431
NEM,2.0070351506939588
WMT,1.9888962741333458
COR,1.9577256486379349
KMI,1.949633547750413
META,1.9490649907230697
TRMB,1.9487027524663716
WMB,1.9339401196509138
TJX,1.9157529367088986
XEL,1.9116047647706202
TMUS,1.910977209193184
DIS,1.8934359015462492
BEN,1.8777075188434242
MA,1.8718734572203877
WEC,1.8645441711913926
CRWD,1.8627605034430164
TDY,1.8626561851647079
DG,1.8580471558762501
WRB,1.8492973744432337
HLT,1.8313217612732828
BLK,1.7821558572211573
PPL,1.7703938025611758
ANET,1.7689037003630745
BA,1.7585522238636637
GOOGL,1.7572676604425674
CMI,1.7544852784638452
BAC,1.7446742068863972
EXC,1.7370279713010164
GOOG,1.7321495608306314
BR,1.7268047443456056
CVS,1.726373348871424
PWR,1.721993397258921
AXP,1.7132081192122501
ALLE,1.704039418748637
DAL,1.6848822252750462
WSM,1.6815491090628938
MCK,1.6783251168878435
LH,1.6674319280787968
MSFT,1.667014072640695
PAYC,1.663255991956467
DE,1.6620233171312546
TRV,1.6552718885070372
BKR,1.6552177644610728
EMR,1.6528469158309034
LHX,1.646984922375263
CHRW,1.6441308980069786
CEG,1.6365984684267725
WBD,1.632696869180919
L,1.6279291534416958
INCY,1.6231170755801103
NVDA,1.6141151196826793
ABT,1.6133088517940997
PH,1.595910385336516
URI,1.5888629564548822
IVZ,1.5798696000540682
VMC,1.5715248160320128
ADSK,1.5691235346200103
IBM,1.5540877174357108
PSKY,1.548026034215419
AMZN,1.5446545386421926
IDXX,1.5349767940975396
PNR,1.5334938109732508
LNT,1.5243533299745033
COIN,1.5232709962333058
ROK,1.5218019126770925
TSLA,1.5173881164715883
NCLH,1.4996356560553887
GRMN,1.4831077599872662
J,1.4802920050967245
HBAN,1.476399672965117
RSG,1.4738085916314214
AEP,1.4731725144199137
DGX,1.464203265686416
HIG,1.4611147598165588
CFG,1.459534735137453
ROL,1.440960598907852
RF,1.4328420500080281
MCD,1.4300726834444273
MLM,1.4263942737985396
DTE,1.4245950051064629
CDNS,1.4223131864908134
MTB,1.4181799579207952
EW,1.4142969692368974
DLTR,1.4077652304662451
UBER,1.406921084611106
SNA,1.3841513968335972
HAS,1.3581760618329335
CAT,1.3551864765253006
WTW,1.3543330242863476
CBOE,1.354007831619996
DUK,1.3475841901708556
NWS,1.3444801877625858
TSCO,1.330099603750084
BX,1.3177499754957722
MMM,1.3165388243696832
CVX,1.3154148786076383
ADP,1.3038542130775954
VTR,1.3005225554719249
PNC,1.2988699050554562
JNJ,1.296935184819171
NOC,1.291554627486971
PTC,1.2914657369873026
SO,1.2906369630084429
CINF,1.2901835523976957
VZ,1.2796133162546566
HD,1.2764211927838374
AMP,1.2528323990113923
DPZ,1.2504161254644028
MOS,1.2454469441709755
TT,1.2452796919413474
ICE,1.238812666156239
WAB,1.2339819761529565
ECL,1.2245550166537722
GM,1.2241508162022607
LDOS,1.21733260497465
MAR,1.2084631936638348
SPG,1.1933957869121719
KEY,1.1923958132736212
CMS,1.1904125038977178
GEN,1.1902542030254968
DAY,1.19022440081118
GD,1.187832415251211
EA,1.1710182639331599
APO,1.1613016994866496
TRGP,1.1549004263336768
HPE,1.1527765297234642
CSGP,1.14519752386569
WM,1.1446790458265879
YUM,1.1444271185200594
SYK,1.1432642389178111
ABBV,1.1370685997684844
AON,1.1351476909866234
MSI,1.1321860022221566
MDT,1.1235554427594487
D,1.121510137328431
AIZ,1.1205458184662282
LRCX,1.1195144864754205
RMD,1.1183305505741374
NSC,1.1170810665313726
F,1.1041577444173338
SOLV,1.0959599756882965
MU,1.0953031478928632
DLR,1.088331977568821
