ticker,momentum_score_12m
TPR,4.0
BK,3.699972045370299
PODD,3.0675369426447716
WELL,3.062831394487896
STX,3.0109671425589903
AXON,2.95314850671574
FFIV,2.8941745563146437
GILD,2.8541877749324938
CSCO,2.811614505194883
NI,2.7281022740036436
JCI,2.641327931217197
EVRG,2.6359592588848146
EQT,2.5939683530174484
CAH,2.5928764909826807
RJF,2.5591632082669857
MS,2.49867860541264
WDC,2.488891935875971
EME,2.472795832688103
NDAQ,2.425582055626326
GS,2.4151101428629023
ULTA,2.351064221124016
CBRE,2.2905534376658205
STT,2.263993999750655
SYF,2.249343392059589
V,2.2374565126165242
KR,2.2100357651867015
NEM,2.1851111657338413
COR,2.1317844973545856
KMI,2.1230339838527263
TRMB,2.122027298965323
WMB,2.1060617185446504
XEL,2.0819070357174065
MA,2.0389395988181054
ANET,1.92758231375467
CMI,1.9119898053677122
EXC,1.8931095152708726
BR,1.8820533276855265
PWR,1.876852037794345
AXP,1.8673502865047906
ALLE,1.857434963332365
DAL,1.8367167983405324
WSM,1.8331121807225224
MCK,1.8296259899953915
