ticker,Symbol,Total ESG Risk score,ESG Risk Percentile (num),rank_score
T,T,23.9,44.0,-44.0
BDX,BDX,23.8,44.0,-44.0
NSC,NSC,23.9,44.0,-44.0
BAX,BAX,23.6,43.0,-43.0
CB,CB,23.6,43.0,-43.0
SRE,SRE,23.6,43.0,-43.0
CFG,CFG,23.5,42.0,-42.0
CPB,CPB,23.5,42.0,-42.0
UNP,UNP,23.5,42.0,-42.0
WAB,WAB,23.3,42.0,-42.0
BX,BX,23.4,42.0,-42.0
NEE,NEE,23.3,41.0,-41.0
SCHW,SCHW,23.3,41.0,-41.0
CMCSA,CMCSA,23.1,41.0,-41.0
EFX,EFX,23.2,41.0,-41.0
BSX,BSX,23.1,41.0,-41.0
COST,COST,23.3,41.0,-41.0
ADI,ADI,22.9,40.0,-40.0
GILD,GILD,23.0,40.0,-40.0
EXC,EXC,22.9,39.0,-39.0
IVZ,IVZ,22.8,39.0,-39.0
VRTX,VRTX,22.7,39.0,-39.0
MDT,MDT,22.8,39.0,-39.0
IFF,IFF,22.7,39.0,-39.0
BMY,BMY,22.7,39.0,-39.0
DFS,DFS,22.5,38.0,-38.0
ON,ON,22.4,38.0,-38.0
HUM,HUM,22.5,38.0,-38.0
DVA,DVA,22.6,38.0,-38.0
COF,COF,22.5,38.0,-38.0
ACGL,ACGL,22.5,38.0,-38.0
F,F,22.4,37.0,-37.0
BIIB,BIIB,22.2,37.0,-37.0
MAS,MAS,22.2,37.0,-37.0
ALL,ALL,22.0,36.0,-36.0
CVS,CVS,22.0,36.0,-36.0
AMGN,AMGN,22.0,36.0,-36.0
CSX,CSX,21.9,36.0,-36.0
MDLZ,MDLZ,22.0,36.0,-36.0
PNR,PNR,22.1,36.0,-36.0
PEP,PEP,22.1,36.0,-36.0
CSGP,CSGP,21.9,36.0,-36.0
WMB,WMB,21.8,35.0,-35.0
CLX,CLX,21.6,35.0,-35.0
HBAN,HBAN,21.8,35.0,-35.0
ALLE,ALLE,21.8,35.0,-35.0
WRB,WRB,21.8,35.0,-35.0
KO,KO,21.6,35.0,-35.0
CMS,CMS,21.7,35.0,-35.0
