ticker,weight,price,dollar_allocation,shares,momentum_score_12m,avg_esg_score
MCK,0.13308680497555556,842.0900268554688,133086.80497555557,158.04344,1.8296259899953915,8.0
EME,0.06065340979967566,619.8599853515625,60653.40979967566,97.850178,2.472795832688103,8.2667
COR,0.09933291003502576,361.94000244140625,99332.91003502575,274.44579,2.1317844973545856,8.3867
WMB,0.11943560680113527,60.9900016784668,119435.60680113526,1958.281743,2.1060617185446504,7.8
PWR,0.01553637974180801,429.29998779296875,15536.37974180801,36.190031,1.876852037794345,7.5667
CAH,0.009060175008330736,205.3699951171875,9060.175008330736,44.116352,2.5928764909826807,8.0
GS,0.07377404698868494,790.9099731445312,73774.04698868493,93.277427,2.4151101428629023,7.3
ANET,0.03818759696549916,131.3699951171875,38187.59696549916,290.687359,1.92758231375467,7.3667
WELL,0.09388925982141656,193.82000732421875,93889.25982141656,484.414695,3.062831394487896,7.5
BK,0.046137078620262915,110.4800033569336,46137.07862026292,417.605695,3.699972045370299,8.0
STX,0.04637942074026467,258.2099914550781,46379.420740264664,179.619001,3.0109671425589903,8.0333
MS,0.0,163.86000061035156,0.0,0.0,2.49867860541264,7.7
KMI,0.0,27.420000076293945,0.0,0.0,2.1230339838527263,9.3333
AXP,0.0,357.17999267578125,0.0,0.0,1.8673502865047904,7.6667
WDC,0.0,157.8300018310547,0.0,0.0,2.488891935875971,8.8
TPR,0.023089885895070796,101.41000366210938,23089.885895070795,227.688444,4.0,7.4333
RJF,0.0,158.72999572753906,0.0,0.0,2.5591632082669857,7.5
JCI,0.0,118.72000122070312,0.0,0.0,2.641327931217197,8.3
GILD,0.1140147749288187,125.0199966430664,114014.7749288187,911.972308,2.8541877749324938,9.8667
AXON,0.03300718934756747,554.3699951171875,33007.189347567466,59.54,2.95314850671574,8.1667
EQT,0.0,59.900001525878906,0.0,0.0,2.5939683530174484,8.1333
WSM,0.01690615395104916,182.24000549316406,16906.15395104916,92.768621,1.8331121807225224,10.0
NDAQ,0.01954639423039228,87.08000183105469,19546.39423039228,224.464789,2.425582055626326,8.0
NI,0.05796291214944246,42.880001068115234,57962.912149442454,1351.746985,2.728102274003644,8.9
CBRE,0.0,153.66000366210938,0.0,0.0,2.2905534376658205,9.1667
