Date,MCK,EME,COR,WMB,PWR,CAH,GS,ANET,WELL,BK,STX,MS,KMI,AXP,WDC,TPR,RJF,JCI,GILD,AXON,EQT,WSM,NDAQ,NI,CBRE
2020-11-17,168.3112030029297,83.77257537841797,93.8558120727539,16.12397575378418,66.7542953491211,48.13983154296875,199.39137268066406,17.361249923706055,57.711647033691406,34.141075134277344,46.79789352416992,50.13639831542969,10.485918045043945,109.50208282470703,32.19272232055664,25.226106643676758,55.51504898071289,40.404083251953125,50.085628509521484,119.05000305175781,13.554582595825195,43.90821838378906,38.687313079833984,20.886457443237305,60.4900016784668
2020-11-18,171.11248779296875,83.48773956298828,92.55833435058594,15.481493949890137,66.94251251220703,46.94248962402344,199.0807342529297,17.001874923706055,55.85647964477539,33.535118103027344,46.57026290893555,50.13639831542969,10.284117698669434,107.39627075195312,32.0193977355957,24.800649642944336,55.29778289794922,41.53369140625,50.02813720703125,119.83000183105469,13.526403427124023,44.16276168823242,38.189449310302734,20.21977424621582,58.130001068115234
2020-11-19,166.66334533691406,84.9021224975586,91.18034362792969,15.605347633361816,67.57649230957031,46.03569412231445,199.32034301757812,17.05437469482422,57.055328369140625,33.3187141418457,47.1435432434082,49.98295593261719,10.76245403289795,107.3022689819336,32.109825134277344,25.172929763793945,55.372276306152344,41.307769775390625,49.80633544921875,123.0999984741211,14.080609321594238,45.926361083984375,38.82111740112305,19.915971755981445,58.470001220703125
2020-11-20,164.6568603515625,84.24402618408203,89.89181518554688,15.744675636291504,66.2491226196289,45.65712356567383,198.23756408691406,16.78125,56.45153045654297,32.79066848754883,46.88219451904297,49.28388977050781,10.65034294128418,105.8357162475586,31.96664810180664,25.226106643676758,54.94395065307617,40.928226470947266,49.379150390625,124.80999755859375,13.826987266540527,48.9581184387207,39.309654235839844,20.16913604736328,58.29999923706055
2020-11-23,168.1560821533203,85.4324951171875,89.90974426269531,16.47231101989746,68.25997161865234,46.03569412231445,203.1013946533203,16.778749465942383,55.72520065307617,33.37065505981445,47.98658752441406,51.38108825683594,10.9268798828125,109.13543701171875,33.519012451171875,25.58951759338379,56.16685104370117,41.25354766845703,49.19843673706055,126.5,14.475127220153809,51.17170715332031,39.2100715637207,20.515140533447266,59.779998779296875
2020-11-24,174.2336883544922,86.79779052734375,92.25409698486328,16.998680114746094,69.96372985839844,47.51475143432617,210.7965545654297,17.01937484741211,57.29161071777344,35.22312927246094,49.360774993896484,54.21995162963867,11.18846607208252,113.1778335571289,34.54387283325195,26.69748306274414,58.32711410522461,42.16627502441406,49.494171142578125,127.48999786376953,15.001153945922852,51.34443664550781,39.602149963378906,21.046796798706055,61.459999084472656
2020-11-25,173.99134826660156,86.44417572021484,92.26305389404297,16.735492706298828,69.03262329101562,47.338680267333984,209.94454956054688,16.909374237060547,57.10784912109375,34.94612121582031,49.18373107910156,54.117652893066406,11.09877872467041,113.35646057128906,34.1068000793457,26.316343307495117,58.035369873046875,41.94035339355469,48.8780632019043,127.73999786376953,14.465736389160156,50.91262435913086,39.620811462402344,21.01304054260254,61.2599983215332
2020-11-27,174.4760284423828,86.48346710205078,92.34358215332031,16.61163902282715,69.27035522460938,47.34747314453125,208.9326934814453,17.03499984741211,56.477783203125,34.58255386352539,49.301753997802734,54.42455291748047,11.024041175842285,113.36585998535156,34.55141067504883,25.704748153686523,57.5511589050293,41.5427360534668,49.313438415527344,125.55000305175781,14.324835777282715,49.97172927856445,39.55547332763672,20.683917999267578,61.130001068115234
2020-11-30,174.7966766357422,84.64674377441406,92.26305389404297,16.240087509155273,67.6953353881836,48.06058883666992,204.65460205078125,16.918750762939453,55.11265182495117,33.86406707763672,49.57996368408203,52.711002349853516,10.747504234313965,111.48566436767578,33.82044219970703,25.10201644897461,56.4586181640625,41.60600280761719,49.83917999267578,125.69000244140625,13.97728157043457,49.75811004638672,39.82619094848633,20.422311782836914,61.13999938964844
2020-12-01,173.91249084472656,85.77627563476562,91.43983459472656,16.178157806396484,69.30005645751953,47.56757736206055,207.1087646484375,17.0625,55.55894470214844,34.158390045166016,50.82768630981445,53.9471435546875,10.538235664367676,112.74541473388672,35.62148666381836,25.137474060058594,57.7249870300293,41.813838958740234,50.208858489990234,125.26000213623047,13.60154914855957,50.33536148071289,40.42362594604492,20.667041778564453,61.63999938964844
2020-12-02,175.7099151611328,84.46992492675781,92.27203369140625,16.75871467590332,67.92318725585938,48.99380874633789,212.0794219970703,16.9737491607666,54.67511749267578,34.617183685302734,51.59486770629883,54.578006744384766,10.717610359191895,115.00161743164062,35.960594177246094,25.243837356567383,58.78647994995117,41.47043991088867,50.21706771850586,123.91999816894531,13.610940933227539,50.067176818847656,40.252479553222656,20.776748657226562,61.849998474121094
2020-12-03,174.06796264648438,84.08688354492188,90.82243347167969,16.689048767089844,68.71562957763672,48.80012893676758,210.13400268554688,16.85562515258789,55.29642105102539,34.72970962524414,52.55594253540039,54.61210250854492,10.82971477508545,115.74429321289062,36.53330993652344,25.944068908691406,58.56922149658203,41.32585144042969,49.995269775390625,123.8499984741211,12.671607971191406,50.5035400390625,39.012454986572266,20.55733299255371,63.779998779296875
2020-12-04,175.6224822998047,86.65044403076172,92.14674377441406,17.408937454223633,70.06282043457031,50.17353439331055,213.80174255371094,16.881874084472656,56.18025207519531,35.18851089477539,54.014427185058594,55.41347122192383,11.158571243286133,117.54927062988281,38.997501373291016,26.01497459411621,59.487945556640625,41.47043991088867,50.57032012939453,124.18000030517578,13.376110076904297,50.808074951171875,39.137393951416016,20.253530502319336,65.73999786376953
